-10,00;175,00
-9,80;167,68
-9,60;160,52
-9,40;153,52
-9,20;146,68
-9,00;140,00
-8,80;133,48
-8,60;127,12
-8,40;120,92
-8,20;114,88
-8,00;109,00
-7,80;103,28
-7,60;97,72
-7,40;92,32
-7,20;87,08
-7,00;82,00
-6,80;77,08
-6,60;72,32
-6,40;67,72
-6,20;63,28
-6,00;59,00
-5,80;54,88
-5,60;50,92
-5,40;47,12
-5,20;43,48
-5,00;40,00
-4,80;36,68
-4,60;33,52
-4,40;30,52
-4,20;27,68
-4,00;25,00
-3,80;22,48
-3,60;20,12
-3,40;17,92
-3,20;15,88
-3,00;14,00
-2,80;12,28
-2,60;10,72
-2,40;9,32
-2,20;8,08
-2,00;7,00
-1,80;6,08
-1,60;5,32
-1,40;4,72
-1,20;4,28
-1,00;4,00
-0,80;3,88
-0,60;3,92
-0,40;4,12
-0,20;4,48
0,00;5,00
0,20;5,68
0,40;6,52
0,60;7,52
0,80;8,68
1,00;10,00
1,20;11,48
1,40;13,12
1,60;14,92
1,80;16,88
2,00;19,00
2,20;21,28
2,40;23,72
2,60;26,32
2,80;29,08
3,00;32,00
3,20;35,08
3,40;38,32
3,60;41,72
3,80;45,28
4,00;49,00
4,20;52,88
4,40;56,92
4,60;61,12
4,80;65,48
5,00;70,00
