-10,00;83,00
-9,90;81,21
-9,80;79,44
-9,70;77,69
-9,60;75,96
-9,50;74,25
-9,40;72,56
-9,30;70,89
-9,20;69,24
-9,10;67,61
-9,00;66,00
-8,90;64,41
-8,80;62,84
-8,70;61,29
-8,60;59,76
-8,50;58,25
-8,40;56,76
-8,30;55,29
-8,20;53,84
-8,10;52,41
-8,00;51,00
-7,90;49,61
-7,80;48,24
-7,70;46,89
-7,60;45,56
-7,50;44,25
-7,40;42,96
-7,30;41,69
-7,20;40,44
-7,10;39,21
-7,00;38,00
-6,90;36,81
-6,80;35,64
-6,70;34,49
-6,60;33,36
-6,50;32,25
-6,40;31,16
-6,30;30,09
-6,20;29,04
-6,10;28,01
-6,00;27,00
-5,90;26,01
-5,80;25,04
-5,70;24,09
-5,60;23,16
-5,50;22,25
-5,40;21,36
-5,30;20,49
-5,20;19,64
-5,10;18,81
-5,00;18,00
-4,90;17,21
-4,80;16,44
-4,70;15,69
-4,60;14,96
-4,50;14,25
-4,40;13,56
-4,30;12,89
-4,20;12,24
-4,10;11,61
-4,00;11,00
-3,90;10,41
-3,80;9,84
-3,70;9,29
-3,60;8,76
-3,50;8,25
-3,40;7,76
-3,30;7,29
-3,20;6,84
-3,10;6,41
-3,00;6,00
-2,90;5,61
-2,80;5,24
-2,70;4,89
-2,60;4,56
-2,50;4,25
-2,40;3,96
-2,30;3,69
-2,20;3,44
-2,10;3,21
-2,00;3,00
-1,90;2,81
-1,80;2,64
-1,70;2,49
-1,60;2,36
-1,50;2,25
-1,40;2,16
-1,30;2,09
-1,20;2,04
-1,10;2,01
-1,00;2,00
-0,90;2,01
-0,80;2,04
-0,70;2,09
-0,60;2,16
-0,50;2,25
-0,40;2,36
-0,30;2,49
-0,20;2,64
-0,10;2,81
0,00;3,00
0,10;3,21
0,20;3,44
0,30;3,69
0,40;3,96
0,50;4,25
0,60;4,56
0,70;4,89
0,80;5,24
0,90;5,61
1,00;6,00
1,10;6,41
1,20;6,84
1,30;7,29
1,40;7,76
1,50;8,25
1,60;8,76
1,70;9,29
1,80;9,84
1,90;10,41
2,00;11,00
2,10;11,61
2,20;12,24
2,30;12,89
2,40;13,56
2,50;14,25
2,60;14,96
2,70;15,69
2,80;16,44
2,90;17,21
3,00;18,00
3,10;18,81
3,20;19,64
3,30;20,49
3,40;21,36
3,50;22,25
3,60;23,16
3,70;24,09
3,80;25,04
3,90;26,01
4,00;27,00
4,10;28,01
4,20;29,04
4,30;30,09
4,40;31,16
4,50;32,25
4,60;33,36
4,70;34,49
4,80;35,64
4,90;36,81
5,00;38,00
5,10;39,21
5,20;40,44
5,30;41,69
5,40;42,96
5,50;44,25
5,60;45,56
5,70;46,89
5,80;48,24
5,90;49,61
6,00;51,00
6,10;52,41
6,20;53,84
6,30;55,29
6,40;56,76
6,50;58,25
6,60;59,76
6,70;61,29
6,80;62,84
6,90;64,41
7,00;66,00
7,10;67,61
7,20;69,24
7,30;70,89
7,40;72,56
7,50;74,25
7,60;75,96
7,70;77,69
7,80;79,44
7,90;81,21
8,00;83,00
8,10;84,81
8,20;86,64
8,30;88,49
8,40;90,36
8,50;92,25
8,60;94,16
8,70;96,09
8,80;98,04
8,90;100,01
9,00;102,00
9,10;104,01
9,20;106,04
9,30;108,09
9,40;110,16
9,50;112,25
9,60;114,36
9,70;116,49
9,80;118,64
9,90;120,81
10,00;123,00
